City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
163,Clonakilty,IE,62.1,51.6231,-8.8706,Inchydoney Island Lodge & Spa
165,Eureka,US,54.75,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
167,Sur,OM,82.13,22.5667,59.5289,Sur Plaza Hotel
168,Carnarvon,AU,64.47,-24.8667,113.6333,Hospitality Carnarvon
173,Komsomolskiy,UZ,70.52,40.4272,71.7189,Ikathouse
174,Kalianget,ID,80.67,-7.05,113.9333,Pesanggrahan Garam
176,Saint-Felicien,CA,47.08,48.6501,-72.4491,Hôtel du Jardin
179,Matay,EG,74.16,28.419,30.7792,Nag Aespen
180,Masindi,UG,66.88,1.6744,31.715,New Court View Hotel
181,Boca Do Acre,BR,88.38,-8.7522,-67.3978,Hotel Sao Pedro
186,Esperance,AU,49.84,-33.8667,121.9,Hospitality Esperance
189,Camapua,BR,78.78,-19.5314,-54.0439,Comercial Estrela
192,Abalak,RU,47.08,58.1286,68.5944,Туристический комплекс Абалак
193,Ixtapa,MX,79.83,20.7,-105.2,hotel la terminal
194,Bograd,RU,45.52,54.2344,90.8328,Gostinitsa Berezka
195,Cap Malheureux,MU,75.47,-19.9842,57.6142,Pereybere Hotel & Spa
196,Waipawa,NZ,50.31,-41.4122,175.5153,Tora Coastal Walk
197,Sibolga,ID,77.43,1.7427,98.7792,Hotel Syariah CN Darussalam
200,Port-Gentil,GA,84.16,-0.7193,8.7815,Fengshui Residence
202,Terrace,CA,46.31,54.5163,-128.6035,Northern Motor Inn
203,San Antonio,US,86.97,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
204,Lorengau,PG,80.73,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Karaton,ID,75.49,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
206,Banjar,ID,76.98,-8.19,114.9675,The Hamsa Resort
207,Ponta Delgada,PT,65.12,37.7333,-25.6667,Vila Nova Hotel
208,Flinders,AU,53.06,-34.5833,150.8552,Shellharbour Resort & Conference Centre
210,Constitucion,CL,60.91,-35.3333,-72.4167,Hotel Boutique Las Azucenas
213,Ughelli,NG,78.98,5.4899,6.0074,Prestige Hotel
214,Kalmunai,LK,81.43,7.4167,81.8167,VS Villa
219,Livingston,GB,58.28,55.9029,-3.5226,Mercure Livingston Hotel
220,Port Macquarie,AU,61.9,-31.4333,152.9167,Rydges Port Macquarie
221,Argir,FO,47.37,61.9959,-6.7715,Hotel Hafnia
223,Williston,US,74.03,48.147,-103.618,Hampton Inn & Suites Williston
225,Sola,VU,81.95,-13.8833,167.55,Leumerus Bungalows
226,Puerto Quijarro,BO,84.87,-17.7833,-57.7667,Hotel palance
227,Curup,ID,68.94,-3.4667,102.5333,Ayi The Costel
229,Praia Da Vitoria,PT,66.45,38.7333,-27.0667,Hotel Branco I
230,Caravelas,BR,83.08,-17.7125,-39.2481,Pousada dos Navegantes
231,Ploemeur,FR,63.63,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
232,Kargasok,RU,46.45,59.0556,80.8572,Hotel Kargasok
235,Zuwarah,LY,80.22,32.9312,12.082,مطعم كابيتانو
236,Henties Bay,,69.1,-22.116,14.2845,Fishermans Guest House
237,Ise,JP,61.92,34.4833,136.7,Ise Fresh
239,Ballina,AU,69.01,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
240,Thabazimbi,ZA,64.09,-24.5917,27.4116,Eagle's Rest
241,Jacqueville,CI,82.74,5.2052,-4.4146,Hotel Le Martin Pecheur
245,Oriximina,BR,88.14,-1.7656,-55.8661,Pousada Tia Amélia
246,Lasa,IT,54.48,46.6166,10.7002,Pension Feldgärtenhof
247,Tura,IN,69.15,25.5198,90.2201,Hotel RIKMAN Continental
249,Karratha,AU,75.31,-20.7377,116.8463,ibis Styles Karratha
250,Hobyo,SO,84.27,5.3505,48.5268,Iftin hotel hobyo
251,Freetown,SL,81.88,8.484,-13.2299,The Country Lodge Hotel
253,Kizukuri,JP,48.11,40.8061,140.3861,Kashiwa Roman-sō
254,Hovd,MN,50.79,48.0056,91.6419,Hotel Khovd
256,Parana,AR,75.54,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
257,Plettenberg Bay,ZA,65.52,-34.0527,23.3716,Thanda Vista B&B
258,Ponta Do Sol,PT,69.71,32.6667,-17.1,Hotel do Campo
261,Bijar,IR,52.02,35.8668,47.6051,رنگ فروشي جواهري
263,Dingle,PH,77.41,10.9995,122.6711,SEGAYA PROPERTY
264,Atambua,ID,72.28,-9.1061,124.8925,Kost Alfa Flat
267,Great Yarmouth,GB,61.05,52.6083,1.7305,Comfort Hotel Great Yarmouth
268,Oranjemund,,60.85,-28.55,16.4333,The Fisherman's Cove
270,Maceio,BR,85.44,-9.6658,-35.7353,Hotel Ponta Verde Maceió
271,Victoria,HK,77.18,22.2855,114.1577,Mini Central
272,Acapulco,MX,85.82,16.8634,-99.8901,HS Hotsson Smart Acapulco
273,Kirn,DE,59.81,49.7833,7.45,Gästehaus Rosengarten im Nahetal
274,Kaeo,NZ,60.21,-35.1,173.7833,Bushido Lodge
275,Santa Maria,BR,70.9,-29.6842,-53.8069,Hotel Morotin
276,Gualaceo,EC,65.86,-2.9,-78.7833,Arhaná Hosteria Resort
277,Torbay,CA,48.58,47.6666,-52.7314,Gallows Cove
278,Rupea,RO,51.42,46.0333,25.2167,Dumbrava
280,Jacareacanga,BR,86.49,-6.2222,-57.7528,Casa do Ian😎
283,Muros,ES,63.16,42.7762,-9.0603,Apartment Av. Castelao
284,Sechura,PE,77.99,-5.5569,-80.8222,Hospedaje Costa Bella
285,Sao Filipe,CV,73.78,14.8961,-24.4956,Hotel Xaguate
286,Bhag,PK,89.58,29.0415,67.8239,Bukhari hotl
289,Valley City,US,55.92,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
290,Nhulunbuy,AU,79.41,-12.2333,136.7667,East Arnhem Real Estate
291,Laurel,US,67.73,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
292,Zhuhai,CN,75.85,22.2769,113.5678,珠海粤财假日酒店
293,Hami,CN,75.88,42.8,93.45,Laoyutang Resort
294,Port Hueneme,US,82.33,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
295,Saldanha,ZA,57.25,-33.0117,17.9442,Blue Bay Lodge
296,Letlhakane,BW,66.99,-21.4167,25.5833,Motswedi Hotel
297,Muzaffarabad,PK,69.17,34.37,73.4711,Pearl Continental Muzaffarabad
298,Tabuk,PH,74.44,17.4189,121.4443,Golden Berries Hotel and Convention
300,Nantucket,US,62.74,41.2835,-70.0995,Jared Coffin House
302,Anloga,GH,83.35,5.7947,0.8973,Pin Drop Hotel
304,Januaria,BR,88.18,-15.4833,-44.3667,Hotel Paraguassu
306,Maldonado,UY,69.19,-34.6667,-54.9167,La Cimarrona
307,Saverne,FR,55.71,48.8333,7.25,Hôtel Aux deux Clefs
309,Vallenar,CL,76.51,-28.5708,-70.7581,Humacao Bed & Breakfast
310,Abnub,EG,74.26,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
312,Kisangani,CD,75.69,0.5167,25.2,Grand Ramela Hotel
316,Stary Sacz,PL,59.4,49.5636,20.635,Pokoje gościnne Brzezna
317,Nagua,DO,86.31,19.3832,-69.8474,Hotel Cambri
318,Kokopo,PG,76.96,-4.352,152.2633,Kokopo Beach Bungalow Resort
319,Mogadishu,SO,82.33,2.0371,45.3438,Hotel Juba
320,Klaksvik,FO,47.32,62.2266,-6.589,Airbnb rooms
322,Cayenne,GF,84.24,4.9333,-52.3333,Hôtel Le Dronmi
323,Basudebpur,IN,82.36,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
324,Florianopolis,BR,73.69,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
325,Mahibadhoo,MV,82.04,3.7833,72.9667,Omadhoo Inn
326,Djambala,CG,72.05,-2.5447,14.7533,Hotel Ravin D'or
