City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Greenfield,US,61.11,Clouds,42.9614,-88.0126,Brewtown Eatery Bar & Grill
301,Monte Patria,CL,68.07,Clouds,-30.6919,-70.9467,Hotel Monte Cordillera
302,Santa Cruz De La Palma,ES,66.34,Clear,28.6835,-17.7642,H10 Taburiente Playa
303,Peniche,PT,57.29,Clouds,39.3558,-9.3811,Hotel Star inn Peniche
305,Tolaga Bay,NZ,61.84,Clear,-38.3667,178.3,Tolaga Bay Motel
306,Bengkulu,ID,75.88,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Thap Than,TH,81.72,Clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
308,Yongan,CN,49.12,Clouds,39.6957,113.6871,Beiyue International Hotel
309,Lincoln,US,66.0,Clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
311,La Palma,US,88.92,Clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
312,Nabire,ID,81.79,Rain,-3.3667,135.4833,Hotel Nusantara I
313,Paragominas,BR,74.1,Rain,-2.9667,-47.4833,INOVA
314,Isiro,CD,65.77,Clouds,2.7739,27.616,Guest House Hewa Bora
315,Sabang,ID,83.41,Clouds,5.8933,95.3214,Hotel Citra
316,Georgetown,MY,84.13,Clouds,5.4112,100.3354,Cititel Penang
317,Lasa,IT,52.68,Clouds,46.6166,10.7002,Pension Feldgärtenhof
320,Ahipara,NZ,66.22,Clear,-35.1667,173.1667,Ahipara Holiday Park
321,Lac Du Bonnet,CA,69.17,Clouds,50.2536,-96.0612,Drifter's Inn
322,Hualmay,PE,66.18,Clear,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
323,Alpena,US,59.32,Clear,45.0617,-83.4327,Days Inn by Wyndham Alpena
325,Pemberton,CA,48.63,Clouds,50.3164,-122.8027,Pemberton Valley Lodge
327,San Rafael,AR,63.82,Clear,-34.6177,-68.3301,Hotel San Rafael
328,Ipilan,PH,82.54,Clouds,8.8431,117.9033,Brookes Inn
329,San Juan,AR,65.35,Clouds,-31.5375,-68.5364,Hotel Provincial
330,Molina,CL,56.93,Clear,-35.1167,-71.2833,Hostal Pucará
331,Kaeo,NZ,69.33,Clear,-35.1,173.7833,Bushido Lodge
333,La Mana,EC,77.31,Rain,-0.9333,-79.2167,Hotel Somagg
334,Puerto Rondon,CO,75.36,Rain,6.2805,-71.1,Urbanización Santa Clara
340,Kholm-Zhirkovskiy,RU,46.31,Clouds,55.5189,33.4731,Gostinitsa Kholm
341,Cairns,AU,82.06,Clouds,-16.9167,145.7667,Mantra Trilogy Cairns
342,Agbor,NG,75.52,Clouds,6.2518,6.1934,MIRAMAS HOTEL
343,Khasan,RU,51.71,Clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
344,Port-Gentil,GA,82.36,Thunderstorm,-0.7193,8.7815,Fengshui Residence
345,Fethiye,TR,57.07,Clouds,36.6217,29.1164,Club & Hotel Letoonia
346,Vila Velha,BR,76.95,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
347,Xining,CN,56.12,Clear,36.6167,101.7667,Super Leisure Hotel
348,Gat,IL,60.4,Clear,31.61,34.7642,OlusHome
350,Hermiston,US,68.14,Rain,45.8404,-119.2895,Oxford Suites Hermiston
351,Te Anau,NZ,58.32,Clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
352,Altamont,US,59.77,Clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
354,Saint-Georges,GD,80.28,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
355,Ballina,AU,67.96,Clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
356,Yorkton,CA,69.8,Clouds,51.2167,-102.4677,Redwood Motel
357,Limoux,FR,56.52,Clouds,42.9167,2.1667,Vayamundo l'Espinet
358,Nouadhibou,MR,66.18,Clear,20.931,-17.0347,El Medina
359,Topolobampo,MX,84.11,Clear,25.6,-109.05,Hotel Marina Topolobampo
360,Itarema,BR,76.39,Rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
361,Preobrazheniye,RU,48.07,Rain,42.9019,133.9064,Campsite Orlan
362,Hit,IQ,70.54,Clouds,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
363,Mongu,ZM,67.8,Clouds,-15.2484,23.1274,Country Lodge Mongu
366,Asau,RO,45.52,Clouds,46.4333,26.4,Casa Mika Ciobanus
367,Union,US,52.99,Rain,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
369,Launceston,AU,50.81,Clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
370,Bull Savanna,JM,78.31,Clouds,17.8868,-77.5902,Big Red's
372,Lebu,CL,52.93,Clouds,-37.6167,-73.65,Hostal Las Lilas
374,Robertsport,LR,81.86,Rain,6.7533,-11.3686,Kwepunha Retreat
376,Riyadh,SA,80.74,Clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
