City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
49,Albany,US,42.6001,-73.9662,58.93,66,100,2.98,Clouds
50,Grindavik,IS,63.8424,-22.4338,39.67,87,75,9.22,Clouds
51,Nhulunbuy,AU,-12.2333,136.7667,84.81,65,40,16.11,Clouds
52,Souillac,MU,-20.5167,57.5167,75.58,64,20,9.22,Clouds
53,New Norfolk,AU,-42.7826,147.0587,51.66,76,100,5.01,Rain
54,Klaksvik,FO,62.2266,-6.589,34.72,62,66,9.89,Clouds
55,Rapid Valley,US,44.0625,-103.1463,74.71,47,75,11.5,Clouds
56,Saint Anthony,US,45.0205,-93.218,71.96,24,0,11.5,Clear
57,Tazovskiy,RU,67.4667,78.7,7.88,100,90,9.17,Clouds
58,Port Macquarie,AU,-31.4333,152.9167,62.89,74,79,4.92,Clouds
59,Kodiak,US,57.79,-152.4072,45.91,71,100,10.36,Clouds
60,Itoman,JP,26.1247,127.6694,77.02,88,75,12.66,Clouds
61,Castro,BR,-24.7911,-50.0119,54.7,91,7,3.15,Clear
62,Poya,NC,-21.35,165.15,78.4,64,0,5.68,Clear
63,Saldanha,ZA,-33.0117,17.9442,53.65,84,55,18.77,Clouds
64,Pisco,PE,-13.7,-76.2167,68.05,77,0,12.66,Clear
65,Miyako,JP,39.6367,141.9525,62.1,58,0,12.28,Clear
66,Bandarbeyla,SO,9.4942,50.8122,81.0,90,40,8.12,Clouds
67,Inta,RU,66.0317,60.1659,21.94,83,48,7.76,Clouds
68,Broome,US,42.2506,-75.833,56.17,79,100,6.91,Clouds
69,Hithadhoo,MV,-0.6,73.0833,83.39,76,82,15.37,Clouds
70,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,10.36,Rain
71,Ponta Delgada,PT,37.7333,-25.6667,68.5,94,75,12.66,Clouds
72,Severo-Kurilsk,RU,50.6789,156.125,42.48,85,78,8.03,Clouds
73,Novaya Zaimka,RU,56.4857,66.9241,32.05,71,1,9.98,Clear
74,Kuandian,CN,40.7286,124.7847,50.11,41,1,6.82,Clear
75,Kavaratti,IN,10.5669,72.642,84.99,68,95,11.72,Clouds
76,Nenjiang,CN,49.1833,125.2167,44.65,33,71,10.49,Clouds
77,Vaini,TO,-21.2,-175.2,78.96,78,40,10.36,Clouds
78,Gamba,GA,-2.65,10.0,77.49,92,100,6.22,Rain
79,Camacha,PT,33.0833,-16.3333,60.22,77,20,3.44,Clouds
80,Zhirnov,RU,48.1709,41.1261,41.59,52,65,9.8,Clouds
81,Ancud,CL,-41.8697,-73.8203,52.18,91,100,9.93,Clouds
